appl_year,count
1909,1
1996,1
2000,8
2001,194
2002,1192
2003,8042
2004,22223
2005,29582
2006,31893
2007,33172
2008,32640
2009,30754
2010,31590
2011,33951
2012,36259
2013,38089
2014,39114
2015,37106
2016,26189
2017,9581
